Public Name,LC Classification Code,Availability,Title,Subjects,Classification Code,ISBN,Author,Network Number,Publication Date,Edition,Publisher,Series,MMS Id,Originating System ID
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,"The gameful world : approaches, issues, applications /",Games--Social aspects.; Play--Social aspects.; Creative ability--Social aspects.; Social psychology.; Electronic books.,GV,0262325713; 9780262325714; 026202800X; 9780262028004,"Walz, Steffen P.",(MiAaPQ)EBC3339935; (PQKB)10927449; (PQKBWorkID)11426580; (PQKBTitleCode)TC1422278; (PQKBTitleCode)TC0001422278; (PQKBManifestationID)12540607; (SSID)ssj1422278; (SSID)ssj0001422278; (CKB)3710000000341571,2014.,,The MIT Press,,9982722924702771,993710000000341571
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,The well-played game a player's philosophy /,Games--Psychological aspects.; Play--Psychological aspects.; Electronic books.,GV,0262316803; 9780262316804; 0262019175; 9780262019170; 1299814522; 9781299814523,"DeKoven, Bernie, 1941-",(MiAaPQ)EBC3339662; (PQKB)10179824; (PQKBWorkID)11021369; (PQKBTitleCode)TC985217; (PQKBTitleCode)TC0000985217; (PQKBManifestationID)11591474; (SSID)ssj985217; (SSID)ssj0000985217; (EBL)3339662; (CKB)2550000001112823,2013.,,MIT Press,,9982753415902771,992550000001112823
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Uncertainty in games,Games--Design and construction.; Game theory.; Video games--Design and construction.; Computer games--Design and construction.; Electronic books.,GV,1299356028; 9781299356023; 0262313588; 9780262313582; 0262018969; 9780262018968,"Costikyan, Greg.",(MiAaPQ)EBC3339588; (PQKB)10465713; (PQKBWorkID)10998493; (PQKBTitleCode)TC836281; (PQKBTitleCode)TC0000836281; (PQKBManifestationID)11464349; (SSID)ssj836281; (SSID)ssj0000836281; (EBL)3339588; (CKB)2550000001016625,2013.,,MIT Press,Playful Thinking,9982757206902771,992550000001016625
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,Values at play in digital games /,Computer games--Social aspects.; Values.; Digital media--Social aspects.; Computer games--Design.; Electronic books; Computer games--Social aspects; Values--Social aspects; Digital media--Design; Computer games; Social Sciences; Recreation & Sports,GV,026232444X; 9780262324441; 0262027666; 9780262027663,"Flanagan, Mary, 1969- author.",(PQKB)10430701; (PQKBWorkID)11279856; (PQKBTitleCode)TC1287568; (PQKBTitleCode)TC0001287568; (PQKBManifestationID)11774740; (SSID)ssj1287568; (SSID)ssj0001287568; (MH)14146468-2; (MH)014146468-2; (PromptCat)40023927722; (CKB)2560000000327246,2014,,The MIT Press,,9982705028502771,992560000000327246
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,GV,Available,"Video game spaces image, play, and structure in 3D game worlds /",Video games.; Three-dimensional display systems.; Electronic books.,GV,1282240560; 9781282240568; 9786612240560; 6612240563; 0262255111; 9780262255110; 0262141019; 9780262141017,"Nitsche, Michael, 1968-",(MiAaPQ)EBC3338970; (StDuBDS)EDZ130717; (StDuBDS)EDZ0000130717; (PQKB)10629157; (PQKBWorkID)10333272; (PQKBTitleCode)TC267394; (PQKBTitleCode)TC0000267394; (PQKBManifestationID)11213451; (SSID)ssj267394; (SSID)ssj0000267394; (CaPaEBR)ebrary10269460; (OCoLC)316535507; (CKB)1000000000721254,c2008.,,MIT Press,,9982699506802771,991000000000721254
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,H,Available,Digital research confidential : the secrets of studying behavior online /,Social sciences--Research.; Social networks--Research.; Internet searching.; Social scientists--Attitudes.; Electronic books.,H,0262331225; 9780262331227; 0262528207; 9780262528207,"Hargittai, Eszter.",(MiAaPQ)EBC4397949; (PQKB)11558791; (PQKBWorkID)14874942; (PQKBTitleCode)TC1602130; (PQKBTitleCode)TC0001602130; (PQKBManifestationID)16310840; (SSID)ssj1602130; (SSID)ssj0001602130; (EBL)4397949; (CKB)3710000000569920,[2015],,The MIT Press,,9982725868502771,993710000000569920
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,HB,Available,"Heteromation, and other stories of computing and capitalism /",Labor theory of value.; Technological innovation--Economic aspects.; Capitalism.; Electronic books.,HB,0262340321; 9780262340328; 0262036258; 9780262036252,"Ekbia, H. R. 1955- author. (Hamid Reza),",(MiAaPQ)EBC4853980; (CKB)3710000001306241,2017.,,The MIT Press,Acting with technology.,9983326082502771,(CKB)3710000001306241
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,HC,Available,Cosmopolitan Commons Sharing Resources and Risks Across Borders,Europe -- Economic integration.; Infrastructure (Economics) -- Europe.; Natural resources -- International cooperation.; Electronic books.,HC,0262313332; 9780262313339; 0262518414; 9780262518413,"Disco, Nil.",(EBL)3339624; (CKB)2560000000102723,2013.,,The MIT Press,Infrastructures,9982706445602771,992560000000102723
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,HC,Available,Rethinking rights and regulations : institutional responses to new communication technologies /,Information society--Congresses.; Telecommunication policy--Congresses.; Internet--Government policy--Congresses.; Information technology--Social aspects--Congresses.; Information technology--Management--Congresses.; Conference proceedings.; Electronic bo,HC,0262270943; 9780262270946; 0585479836; 9780585479835; 0262033143; 9780262033145,"Research Conference on Communication, Information, and Internet Policy Alexandria, Va.) 2002 : (30th :; Cranor, Lorrie Faith Author",(PQKB)11625987; (PQKBWorkID)10188287; (PQKBTitleCode)TC237225; (PQKBTitleCode)TC0000237225; (PQKBManifestationID)11175602; (SSID)ssj237225; (SSID)ssj0000237225; (MH)9207449-9; (MH)009207449-9; (CKB)111087026945722,c2003.,,MIT Press,Telecommunications Policy Research Conference series.,9982748249902771,99111087026945722
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,HC,Available,Tracing genres through organizations : a sociocultural approach to information design /,Information technology--Case studies.; Organization--Case studies.; Case studies.; Electronic books,HC,0262257017; 9780262257015; 1423727568; 9781423727569; 0262194910; 9780262194914,"Spinuzzi, Clay.",(PQKB)11154297; (PQKBWorkID)10243464; (PQKBTitleCode)TC260799; (PQKBTitleCode)TC0000260799; (PQKBManifestationID)11191957; (SSID)ssj260799; (SSID)ssj0000260799; (MH)9252883-X; (MH)009252883-X; (CKB)1000000000456826,c2003.,,MIT Press,,9982732296402771,991000000000456826
